customer_id,age,location,account_type,account_type_business,plan_name,plan_price,plan_speed_mbps,billing_cycle,billing_cycle_monthly,contract_age_months,avg_monthly_usage_gb,avg_speed_mbps,session_count_30d,usage_change_30d,usage_change_60d,usage_change_90d,payment_failures_90d,late_payments_count,total_revenue,days_since_login,support_tickets,complaints_count,app_usage_hours,nps_score,last_feedback_rating,customer_since,last_activity_date,churn_date,churn_probability_true,churned
CUST_000001,40,Lucknow,business,1,Standard,799,100,monthly,1,1,377.65,81.6,42,22.86,29.79,-5.49,0,0,8978.82,3,0,0,4.0,8,5,2023-11-26,2024-12-25,,0.186,0
CUST_000002,33,Ahmedabad,residential,0,Basic,499,50,monthly,1,8,130.21,37.1,42,-15.23,-6.49,5.59,2,0,3309.64,0,3,2,1.7,7,5,2023-03-13,2024-12-13,2024-03-07,0.5349,1
CUST_000003,42,Mumbai,business,1,Premium,1299,200,yearly,0,38,580.81,166.8,55,5.33,-6.51,-6.65,2,0,48299.3,2,1,0,6.9,7,4,2023-01-11,2024-12-24,,0.1936,0
CUST_000004,53,Hyderabad,residential,0,Premium,1299,200,monthly,1,12,612.26,157.1,48,5.33,-2.84,-2.01,0,0,32146.97,1,1,0,0.1,6,4,2023-05-24,2024-12-19,,0.2572,0
CUST_000005,32,Delhi,residential,0,Standard,799,100,monthly,1,13,221.43,74.2,39,-24.26,-5.4,2.14,0,2,38137.54,7,1,0,2.5,8,1,2023-05-15,2024-12-14,,0.3674,0
CUST_000006,32,Pune,residential,0,Business,2999,1000,monthly,1,21,2000.0,708.3,44,6.65,-6.57,-25.41,0,0,18705.09,7,1,0,0.1,2,4,2023-09-19,2024-12-20,,0.3253,0
CUST_000007,53,Jaipur,residential,0,Basic,499,50,yearly,0,15,106.85,36.2,42,-19.25,4.62,5.61,0,0,37128.45,4,2,1,6.2,7,3,2023-12-07,2024-12-16,2024-07-05,0.445,1
CUST_000008,44,Hyderabad,business,1,Basic,499,50,monthly,1,1,154.87,39.8,46,-3.35,-1.4,17.98,2,0,29544.63,8,2,1,3.4,8,3,2023-11-20,2024-12-24,2024-04-21,0.4327,1
CUST_000009,29,Chennai,residential,0,Premium,1299,200,monthly,1,14,670.07,165.7,55,-7.75,1.43,11.2,0,0,38767.23,3,0,0,0.3,5,5,2023-05-16,2024-12-04,,0.2444,0
CUST_000010,41,Delhi,business,1,Ultra,1999,500,yearly,0,18,1522.26,378.0,54,-1.2,9.36,31.28,0,0,38199.68,1,2,2,0.0,9,3,2023-09-21,2024-12-10,,0.2688,0
CUST_000011,29,Bangalore,residential,0,Business,2999,1000,monthly,1,18,2000.0,895.1,33,7.03,14.53,-24.61,0,0,33184.93,0,2,0,3.7,8,4,2023-08-07,2024-12-05,,0.2174,0
CUST_000012,29,Pune,residential,0,Ultra,1999,500,yearly,0,23,1448.86,421.3,48,-15.21,16.99,26.07,0,0,35349.28,0,0,2,2.4,6,4,2023-05-10,2024-12-13,,0.2787,0
CUST_000013,37,Ahmedabad,business,1,Basic,499,50,yearly,0,13,147.25,44.6,38,-10.75,16.33,28.11,0,0,22218.41,5,0,1,1.2,5,3,2023-03-23,2024-12-04,,0.3008,0
CUST_000014,18,Ahmedabad,residential,0,Business,2999,1000,monthly,1,41,2000.0,799.4,44,-26.4,8.57,-18.06,1,1,27933.74,12,0,0,1.7,7,4,2023-11-17,2024-12-27,,0.3289,0
CUST_000015,18,Hyderabad,business,1,Business,2999,1000,monthly,1,11,2000.0,922.7,40,-18.31,-26.05,-3.91,1,0,10550.04,6,1,0,0.9,0,5,2023-06-20,2024-12-10,2024-01-23,0.4719,1
